id;title;description;category_slug;base_price;image_url;is_active;in_stock;stock_qty;price_override
;CATSWILL Земляничное Мохито;;tobacco;400;CATSWILL_Zemlyanichnoe_Mohito_v2;true;true;2;
;CATSWILL Кислая Фанта с Черникой;;tobacco;400;CATSWILL_Kislaya_Fanta_s_Chernikoy_v2;true;true;2;
;CATSWILL Кислая Яблочно-Клубничная Шипучка;;tobacco;400;CATSWILL_Kislaya_Yablochno_Klubnichnaya_Shipuchka_v2;true;true;2;
;CATSWILL Кислые Ленточки с Маракуйей и Манго;;tobacco;400;CATSWILL_Kislye_Lentochki_s_Marakuyey_i_Mango_v2;true;true;2;
;CATSWILL Кислые Яблочно-Лимонные Колечки;;tobacco;400;CATSWILL_Kislye_Yablochno_Limonnye_Kolechki_v2;true;true;2;
;CATSWILL Кислый Виноград с Лаймом;;tobacco;400;CATSWILL_Kislyy_Vinograd_s_Laymom_v2;true;true;2;
;CATSWILL Кислый Грейпфрут с Вишней;;tobacco;400;CATSWILL_Kislyy_Greypfrut_s_Vishney_v2;true;true;2;
;CATSWILL Кислый Леденец с Виноградом Киви и Яблоком;;tobacco;400;CATSWILL_Kislyy_Ledenets_s_Vinogradom_Kivi_i_Yablokom_v2;true;true;2;
;D.L.T.A. Apple Mint;;tobacco;450;D_L_T_A_Apple_Mint_v2;true;true;9;
;D.L.T.A. Grape Ice;;tobacco;450;D_L_T_A_Grape_Ice_v2;true;true;1;
;D.L.T.A. Mango Ice;;tobacco;450;D_L_T_A_Mango_Ice_v2;true;true;9;
;D.L.T.A. Персиковый Йогурт;;tobacco;450;D_L_T_A_Persikovyy_Yogurt_v2;true;true;9;
;DUAL EXTREME Жвачка Клубника Банан;;tobacco;400;DUAL_EXTREME_Zhvachka_Klubnika_Banan_v2;true;true;2;
;DUAL EXTREME Кислые Дикие Ягоды;;tobacco;400;DUAL_EXTREME_Kislye_Dikie_Yagody_v2;true;true;2;
;DUAL EXTREME Клубника Сладкая Мята;;tobacco;400;DUAL_EXTREME_Klubnika_Sladkaya_Myata_v2;true;true;2;
;DUAL EXTREME Ледяная Вишня Клубника;;tobacco;400;DUAL_EXTREME_Ledyanaya_Vishnya_Klubnika_v2;true;true;2;
;DUAL EXTREME Ледяное Яблоко Виноград;;tobacco;400;DUAL_EXTREME_Ledyanoe_Yabloko_Vinograd_v2;true;true;2;
;DUAL EXTREME Ледяной Виноград;;tobacco;400;DUAL_EXTREME_Ledyanoy_Vinograd_v2;true;true;2;
;DUAL EXTREME Ледяной Виноград Энергетик;;tobacco;400;DUAL_EXTREME_Ledyanoy_Vinograd_Energetik_v2;true;true;2;
;DUAL EXTREME Ледяной Ред Булл;;tobacco;400;DUAL_EXTREME_Ledyanoy_Red_Bull_v2;true;true;2;
;DUAL EXTREME Ледяной Спрайт;;tobacco;400;DUAL_EXTREME_Ledyanoy_Sprayt_v2;true;true;2;
