id;title;description;category_slug;base_price;image_url;is_active;vvo_in_stock;vvo_stock_qty;vvo_price_override;blg_in_stock;blg_stock_qty;blg_price_override
;DUAL 12000 Ледяная Груша Яблоко;;disposable;1100;DUAL 12000 Ледяная Груша Яблоко.HEIC;true;true;1;;false;;
;DUAL 12000 Ледяная Кола;;disposable;1100;DUAL 12000 Ледяная Кола.HEIC;true;true;1;;false;;
;DUAL 12000 Лесные Ягоды;;disposable;1100;DUAL 12000 Лесные Ягоды.HEIC;true;true;1;;false;;
;DUAL 12000 Малиновый Лимонад;;disposable;1100;DUAL 12000 Малиновый Лимонад.HEIC;true;true;1;;false;;
;DUAL 12000 Морозная Вишня;;disposable;1100;DUAL 12000 Морозная Вишня.HEIC;true;true;1;;false;;
;DUAL 12000 Морозный Рэд Булл;;disposable;1100;DUAL 12000 Морозный Рэд Булл.HEIC;true;true;1;;false;;
;DUAL 12000 Морозный Спрайт;;disposable;1100;DUAL 12000 Морозный Спрайт.HEIC;true;true;1;;false;;
;DUAL 12000 Пина Колада;;disposable;1100;DUAL 12000 Пина Колада.HEIC;true;true;1;;false;;
;DUAL 12000 Холодная Смородина;;disposable;1100;DUAL 12000 Холодная Смородина.HEIC;true;true;1;;false;;
;Lost Mary BM 16000 Ежевика Вишня;;disposable;1300;Lost Mary BM 16000 Ежевика Вишня.HEIC;true;true;2;;false;;
;Lost Mary BM 16000 Киви Маракуйя Гуава;;disposable;1300;Lost Mary BM 16000 Киви Маракуйя Гуава.HEIC;true;true;2;;false;;
;Lost Mary BM 16000 Кислое Яблоко;;disposable;1300;Lost Mary BM 16000 Кислое Яблоко.HEIC;true;true;3;;false;;
;Lost Mary BM 16000 Леденец Кислая Ежевика;;disposable;1300;Lost_Mary_BM_16000_Леденец_Кислая_Ежевика.HEIC;true;true;1;;false;;
;Lost Mary OS12000 Двойное Яблоко Лёд;;disposable;1100;Lost Mary OS12000 Двойное  Яблоко Лёд.HEIC;true;true;1;;false;;
;Lost Mary OS12000 Киви Дыня Яблоко;;disposable;1100;Lost Mary OS12000 Киви Дыня Яблоко.HEIC;true;true;1;;false;;
;Lost Mary OS12000 Ледяная Ежевика;;disposable;1100;Lost Mary OS12000 Ледяная Ежевика.HEIC;true;true;1;;false;;
;Lost Mary OS12000 Персик Манго Лёд;;disposable;1100;Lost Mary OS12000 Персик Манго Лёд.HEIC;true;true;1;;false;;
;Lost Mary OS12000 Черника Малина Лимонад;;disposable;1100;Lost_Mary_OS12000_Черника_Малина_Лимонад.HEIC;true;true;1;;false;;
;Puffmi FLORA 25000 Ванильное Мороженое;;disposable;1600;Puffmi FLORA 25000 Ванильное Мороженое.HEIC;true;true;1;;false;;
;Puffmi FLORA 25000 Двойное Яблоко;;disposable;1600;Puddmi FLORA 25000 Двойное Яблоко.HEIC;true;true;1;;false;;
;Elf Bar GH33000 Вишнёвый Сад;;disposable;1400;Elf Bar GH33000  Вишнёвый Сад.HEIC;true;true;1;;false;;
;Elf Bar GH33000 Киви Ананас Персик;;disposable;1400;Elf Bar GH33000  Киви Ананас Персик.HEIC;true;true;2;;false;;
;Elf Bar GH33000 Кислая Клубника Питайя;;disposable;1400;Elf Bar GH33000 Кислая Клубника Питайя.HEIC;true;true;2;;false;;
;Elf Bar GH33000 Яблоко Киви Лёд;;disposable;1400;Elf Bar GH33000 Яблоко Киви Лёд.HEIC;true;true;2;;false;;
;Husky Double Ice Tropic Dew;;liquid;350;Husky Double Ice Tropic Dew.HEIC;true;true;1;;false;;
;Geek Vape B60 Silver;;accessory;3890;Geek Vape B60 Silver.HEIC;true;true;1;;false;;
;XROS 5 Blue Silk;;accessory;2990;XROS 5 Blue Silk.HEIC;true;true;1;;false;;
;XROS 5 Lavender Purple;;accessory;2990;XROS 5 Lavender Purple.HEIC;true;true;1;;false;;
;XROS 5 Opal Pink;;accessory;2990;XROS 5 Opal Pink.HEIC;true;true;1;;false;;
;XROS 5 MINI Flowing Blue;;accessory;2590;XROS 5 MINI Flowing Blue.HEIC;true;true;1;;false;;
;XROS 5 MINI Rose Red;;accessory;2590;XROS 5 MINI Rose Red.HEIC;true;true;1;;false;;
;XROS 5 MINI Titanium Silver;;accessory;2590;XROS 5 MINI Titanium Silver.HEIC;true;true;1;;false;;
;Испаритель Aegis b series 0.2 Ом;;cartridge;350;Испаритель Aegis b series 0.2 Ом.HEIC;true;true;3;;false;;
;Испаритель Aegis b series 0.3 Ом;;cartridge;350;Испаритель Aegis b series 0.3 Ом.HEIC;true;true;5;;false;;
;Картридж XROS 0.6 Ом;;cartridge;350;Картридж XROS 0.6 Ом.HEIC;true;true;4;;false;;
;Рик и Морти 20000 Клубника Банан;;disposable;1200;Рик и Морти 20000 Клубника Банан.HEIC;true;true;1;;false;;
;Рик и Морти 20000 Клубника Киви;;disposable;1200;Рик и Морти 20000 Клубника Киви.HEIC;true;true;1;;false;;
;Рик и Морти 20000 Черника Малина;;disposable;1200;Рик и Морти 20000 Черника Малина.HEIC;true;true;1;;false;;
;Рик и Морти 20000 Смородина Виноград;;disposable;1200;Рик_и_Морти_20000_Смородина_Виноград.HEIC;true;true;1;;false;;
;Рик и Морти 20000 Кислый Лимонад Ежевика Малина;;disposable;1200;Рик_и_Морти_20000_Кислый_Лимонад_Ежевика_Малина.HEIC;true;true;1;;false;;
;Рик и Морти 20000 Кислая Черника Голубика;;disposable;1200;Рик_и_Морти_20000_Кислая_Черника_Голубика.HEIC;true;true;1;;false;;
