id;title;description;category_slug;base_price;image_url;is_active;in_stock;stock_qty;price_override
;Lost Mary BM 16000 Виноградный Леденец;;disposable;1400;Lost_Mary_Bm_16000_Vinogradnyy_Led;true;true;1;
;Lost Mary BM 16000 Голубика Малина Лед;;disposable;1400;Lost_Mary_Bm_16000_Golubika_Malina_Led;true;true;1;
;Lost Mary BM 16000 Леденец Кислая Ежевика;;disposable;1400;Lost_Mary_Bm_16000_Ledenets;true;true;1;
;Lost Mary BM 16000 Чай Ягодный Микс;;disposable;1400;Lost_Mary_BM_16000_Chay_Yagodnyy_Miks;true;true;1;
;Lost Mary BM 16000 Грейпфрут Маракуйя;;disposable;1400;Lost_Mary_Bm_16000_Greypfrut_Marakuyya;true;true;1;
;Lost Mary BM 16000 Персик Манго Арбуз;;disposable;1400;Lost_Mary_Bm_16000_Persik_Mango_Arbuz;true;true;2;
;Lost Mary BM 16000 Клубника Банан;;disposable;1400;Lost_Mary_Bm_16000_Klubnika_Banan;true;true;2;
;Snoopysmoke 15000 Kool mint;;disposable;1100;SNOOPYSMOKE_15000PUFFS_Kool_Mint;true;true;5;
;Snoopysmoke 40000 Вишня Лимон;;disposable;1450;SNOOPYSMOKE_40000PUFFS_Vishnya_Limon;true;true;1;
;Snoopysmoke 40000 Арбуз Лед;;disposable;1450;SNOOPYSMOKE_40000PUFFS_Arbuz_Led;true;true;1;
;Snoopysmoke 40000 Клубника Киви;;disposable;1450;SNOOPYSMOKE_40000PUFFS_Klubnika_Kivi;true;true;1;
;Snoopysmoke 40000 Черника Малина Лед;;disposable;1450;SNOOPYSMOKE_40000PUFFS_Chernika_Malina_Led;true;true;1;
;Snoopysmoke 40000 Розовый Лимонад;;disposable;1450;SNOOPYSMOKE_40000PUFFS_Rozovyy_Limonad;true;true;1;
;Iceberg Егермейстер;;disposable;1200;ICEBERG_Egermeyster;true;true;1;
;Iceberg Кислый Лимон с Киви;;disposable;1200;ICEBERG_Kislyy_Limon_S_Kivi;true;true;2;
;Iceberg Малина Яблоко;;disposable;1200;ICEBERG_Malina_Yabloko;true;true;1;
;Jetpod Cola Vanilla;;disposable;1250;JETPOD_Cola_Vanila;true;true;1;
;Jetpod Ginger Pear;;disposable;1250;JETPOD_Ginger_Pear;true;true;1;
;Jetpod Grapefruit Passion Fruit;;disposable;1250;JETPOD_Grapefruit_Passion_Fruit;true;true;1;
;Funky Lands VI10000 Лимон Лайм;;disposable;1100;FUNKY_LANDS_VI10000_Limon_Laym;true;true;2;
;Funky Lands VI10000 Черешня;;disposable;1100;FUNKY_LANDS_VI10000_Chereshnya;true;true;1;
;Funky Lands VI10000 Лимонад Персик Вишня;;disposable;1100;FUNKY_LANDS_VI10000_Limonad_Persik_Vishnya;true;true;1;
;Funky Lands VI10000 Ледяной Арбуз;;disposable;1100;FUNKY_LANDS_VI10000_Ledyanoy_Arbuz;true;true;1;
